id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
37,ACID RED 27,,50 g/L (20 °C),604.47,1.5,C20H11N2Na3O10S3,[Na+].[Na+].[Na+].OC1=C(C=C2C=C(C=CC2=C1\N=N/C1=C2C=CC=CC2=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,"['E 123', 'Amaranth', 'amaranthe', 'C.I. 16185', 'acid red 27', 'javaamaranth', 'Amaranth red', 'Acid Red  27', 'kitonrubines', 'hispacidredam', 'kayakuamaranth', 'C.I. Food Red 9', 'hexacertredno.2', 'C.I. Acid Red 27', 'Acid Red 27 (C.I.)', 'kcafoodcolamarantha', 'amaranth (C.I. 16185)', 'hexacolamaranthbextra', 'kayakufoodcolourredno.2', 'C.I. Acid Red 27, trisodium salt', 'C.I. Acid Red 27, trisodium salt (8CI)', 'trisodium 3-hydroxy-4-(4-sulphonato-1-naphthylazo)naphthalene-2,7-disulphonate', 'trisodium 3-hydroxy-4-[(E)-(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-2,7-disulfonate', 'trisodium (4E)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate', 'trisodium (4Z)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate']","provides color to the product,colorant,hair dyeing,cosmetic colorant"
38,ACID RED 33,,7.14e-2,467.38,1.79,C16H11N3Na2O7S2,[Na+].[Na+].NC1=CC(=CC2=C1C(O)=C(N=NC1=CC=CC=C1)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,"2_7-naphthalenedisulfonic acid_  d & c red no. 33,nan,C.I. Acid red 33, disodium salt,D&C Red no. 33 (CI 17200),Red 33,D & C Red No. 33,c.i. acid red 33, disodium salt,d&c red no. 33,C.I. Acid Red 33, Disodium Salt,red 33 ci 17200,C.I. 17200,D&C Red #33,d&c red no.33,Red 33 (CI 17200),D & C Red 33 (CI 17200),Red 33 Lake ( CI 17200 ),c.i. acid red 33, disodium salt also red 33,Red 33 (CI 17200,CI#17200(FD & C Red No.33),acid red #33 and/or,red 33,Red 33 Lake,CI Acid Red 33,D&C Red No. 33,ci 17200,acid red 33,CI17200,D & C Red No. 33 (1% aq.soln),d&c red 33,FD&C Red #33,D&C RED #33,Disodium 5 -amino-4-hydroxy-3-(phenylazo)naphathlene-2,7-disulphonate (see note 17); (CI 17200),2,7-Naphthalenedisulfonic acid, 5-amino-4-hydroxy-3-(phenylazo)-, disodium salt,red 33 [ ],D&C RED 33,ci 17200 / acid red 33","Cosmetic, lip product, colorant,colorant,color additive,Dye,Color,Colorant,dye,fragrance component,cosmetic colorant,hair dyeing"
39,ACID RED 35,,7.10e-4,523.44724,1.70,C19H15N3Na2O8S2,[Na+].[Na+].CC(=O)NC1=CC(=CC2=CC(=C(N=NC3=C(C)C=CC=C3)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O,"['CI 18065', 'Acid red 35', 'Acid pink 3B', 'Acid Red  35', 'C.I. Acid red 35', 'Diacid Supra Red 3B', 'C.1.Acid Red 35(18065)', 'disodium 5-acetamido-4-hydroxy-3-(o-tolylazo)naphthalene-2,7-disulfonate', 'Disodium 5-(Acetylamino)-4-Hydroxy-3-[(O-Tolyl)Azo]Naphthalene-2,7-Disulphonate', 'Disodium 5-(acetylamino)-4-hydroxy-3-((o-tolyl)azo)naphthalene-2,7-disulphonate', 'disodium 5-(acetylamino)-4-hydroxy-3-[(o-tolyl)azo]naphthalene-2,7-disulphonate', '2-(2-Methylphenylazo)-8-acetylamino-1-hydroxynaphthalene-3,6-di(sulfonic acid sodium) salt', '7-naphthalenedisulfonic acid,5-(acetylamino)-4-hydroxy-3-[(2-methylphenyl)azo]-disodium salt', '5-(Acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-2,7-naphthalene- disulfonic acid, disodium salt', '2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-, disodium salt', '2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy- 3-[(2-methylphenyl)azo]-, disodium salt', 'disodium (3E)-5-(acetylamino)-3-[2-(2-methylphenyl)hydrazinylidene]-4-oxo-3,4-dihydronaphthalene-2,7-disulfonate']",hair dyeing
40,ACID RED 52,,95.3g/L at 20°C,580.65,1.472[at 20°C],C27H29N2NaO7S2,[Na+].CCN(CC)C1=CC2=[O+]C3=C(C=CC(=C3)N(CC)CC)C(=C2C=C1)C1=C(C=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O,"['C.I. 45100', 'XYLENE RED', 'Acid red 52', 'Kiton Red S', 'XYLENE RED B', 'Acid Red  52', 'SULFORHODAMINE B', 'C.I. Acid Red 52', 'sulforhodamine B', 'KitonRedSC.I.14895', 'PHLOXINE RHODAMINE', 'sulforhodamine b sodium salt', 'SULFORHODAMINE B MONOSODIUM SALT', 'sulforhodamine B monosodium salt', 'sulforhodamine B cell culture tested', 'Xanthylium, 3,6-bis(diethylamino)-9-(2,4-disulfophenyl)-, inner salt, sodium salt', 'sodium 4-[6-(diethylamino)-3-(diethyliminio)-3H-xanthen-9-yl]benzene-1,3-disulfonate']","colorant,Colorants,fragrance component,cosmetic colorant,hair dyeing,dye"
41,ACID RED 73,,Soluble in water,556.48,,C22H14N4Na2O7S2,,"['C.I. 27290', 'Acid Red 73', 'Acid Red GR', 'Acid red 73', 'Acid Red  73', 'C.I. Acid Red 73', 'Brilliant Crocein', 'Crocein Scarlet MOO', 'brillant crocein MOO', 'Brilliant Crocein MOO', 'C.I. Acid Red 73, disodium salt', 'brilliant crocein moo (C.I. 27290)', 'sodium 6-hydroxy-5-(4-phenylazophenylazo)naphthalene-2,4-disulphonate', '7-oxo-8-({4-[(E)-phenyldiazenyl]phenyl}hydrazono)-7,8-dihydronaphthalene-1,3-disulfonate', 'disodium 7-hydroxy-8-[(E)-{4-[(E)-phenyldiazenyl]phenyl}diazenyl]naphthalene-1,3-disulfonate', 'disodium (8Z)-7-oxo-8-(2-{4-[(E)-phenyldiazenyl]phenyl}hydrazinylidene)-7,8-dihydronaphthalene-1,3-disulfonate']",
42,ACID RED 92,,Not found,829.63,Not found,C20H2Br4Cl4Na2O5,[Na+].[Na+].[O-]C1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C(Cl)=C(Cl)C(Cl)=C3Cl)C1=C(O2)C(Br)=C([O-])C(Br)=C1,"['Cyanosine', 'Phloxin B', 'C.I. 45410', 'Phloxine B', 'Phloxime B', 'Eosin Blue', 'Acid Red 92', 'C.I. Acid Red 92', '3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid', 'disodium 2,3,4,5-tetrachloro-6-(2,4,5,7-tetrabromo-6-oxido-3-oxo-3H-xanthen-9-yl)benzoate']","Cosmetics,color additive,cosmetic colorant,hair dyeing,colorant"
43,ACID RED 95,,1.71e-3,628.067,2.57,C20H8I2Na2O5,[Na+].[Na+].[O-]C1=CC=C2C(OC3=C(I)C([O-])=CC=C3C22OC(=O)C3=CC=CC=C23)=C1I,"D & C ORANGE NO. 11_ ACID RED 95,D&C Orange No. 11,acid red 95,ci 45425","color additive,hair dyeing,cosmetic colorant"
44,ACID RED 195,,Not found, ,Not found, , ,"['Acid Red 3BA', 'ACID RED 195', 'Acid Pink BE', 'Esgylan Pink EB', 'Navitan Pink EB', 'Dinaiex Red 3BA', 'Chromolan Pink BE', 'Anadurm Pink S-BE']",
45,ACID VIOLET 9,,4.31e-6,612.63,Not found,C34H25N2NaO6S,[Na+].CC1=CC=CC=C1NC1=CC2=[O+]C3=C(C=CC(NC4=C(C)C=C(C=C4)S([O-])(=O)=O)=C3)C(C3=CC=CC=C3C([O-])=O)=C2C=C1,['Acid Violet 9'],"colorant,hair dyeing,cosmetic colorant"
46,ACID VIOLET 43,,1.708-50.3g/L at 20-28°C,433.41,0.513[at 20°C],C21H16NNaO6S,[Na+].CC1=CC=C(NC2=CC=C(O)C3=C2C(=O)C2=CC=CC=C2C3=O)C(=C1)S([O-])(=O)=O,"['C.I. 60730', 'SOLWAY PURPLE', 'Acid Violet 43', 'Acid violet 43', 'Acid Violet  43', 'Egacid Violet 3B', 'Aminyl Violet E-3B', 'C.I. Acid Violet 43', 'Brilliant  Violet  R', 'Triacid Light Violet 3B.', 'Suminol Levelling Violet 3B', 'Hastings Light Fast Violet IRS', '2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonic acid', 'sodium 2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonate', 'Benzenesulfonic acid 2-[(9, 10-dihydro-4-hydroxy-9, 10-dioxo-1-anthracenyl) aminol-5-methyl], monosodium salt']","color additive,colourant,colorant,fragrance component,cosmetic colorant,hair dyeing,dye"
47,ACID YELLOW 1,,0.258,358.19,1.86,C10H4N2Na2O8S,[Na+].[Na+].[O-]C1=C(C=C(C2=C1C=C(C=C2)S([O-])(=O)=O)[N+]([O-])=O)[N+]([O-])=O,"['C.I. 10316', 'Acid yellow 1', 'ACID YELLOW 1', 'ACID YELLOW S', 'AMACID YELLOW S', 'NAPHTHOL YELLOW S', 'Naphthol Yellow S', 'C.I. Food Yellow 1', 'C.I. Acid Yellow 1', 'NaphtholYellowSsodiumsalt', 'Acid yellow 1 (C.I. 10316)', 'Naphthol Yellow S sodium salt', 'naphthol yellow S (C.I. 10316)', 'DISODIUM 5,7-DINITRO-8-OXINDONAPHTHALENE ( ACID YE', 'disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate', '(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium', 'disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate', '5,7-DINITRO-8-HYDROXY-2-NAPHTHALENESULFONIC ACID SODIUM SALT', '8-HYDROXY-5,7-DINITRO-2-NAPHTHALENESULFONIC ACID DISODIUM SALT', '5,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt']","cosmetic colorant,hair dyeing,colorant"
48,ACID YELLOW 3,,225 g/L (20 °C),477.38,Not found,C18H9NNa2O8S2, ,"['C.I. 47005', 'Acid Yellow 3', 'c.i.foodyellow13', 'Quinoline Yellow', 'C.I. Acid Yellow 3', 'C.I. Food Yellow 13', 'Acid yellow 3 (C.I. 47005)', '2-(1,3-Dioxoindan-2-yl)quinolinedisulfonic acid sodium salt', '2-(2-Quinolyl)-1,3-indandione disulfonic acid disodium salt', 'disodium 2-(1,3-dioxo-2,3-dihydro-1H-inden-2-yl)quinoline-6,8-disulfonate']"," colorant,color additive,colorant,dye,fragrance component,cosmetic colorant,hair dyeing"
49,ACID YELLOW 23,,260 g/L (30 °C),492.41,2.121[at 20°C],C16H13N4NaO9S2,[Na+].[Na+].[Na+].[O-]C(=O)C1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=O)N(N1)C1=CC=C(C=C1)S([O-])(=O)=O,"['YELLOW 5', 'C.I. 640', 'TARTAZINE', 'C.I. 19140', 'TARTRAZINE', 'Tartrazine', 'WOOL YELLOW', 'Tartrazine C', 'TARTRAZINE O', 'Filter Yellow', 'Acid Yellow 23', 'Food Yellow No.4', 'C.I. Food Yellow 4', 'C.I. Acid Yellow 23', 'Tartrazine C.I.19140', 'C.I. Acid Yellow 23, trisodium salt', 'C.I. Acid Yellow 23, trisodium salt (VAN) (8CI)', 'Trisodium 1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylate', 'Trisodium 1-(4-sulfonatophenyl)-4-(4-sulfonatophenylazo)-5-pyrazolone-3-carboxylate', 'Dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylic acid, trisodium salt', 'Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-, trisodium salt', 'trisodium 5-hydroxy-1-(4-sulfonatophenyl)-4-[(E)-(4-sulfonatophenyl)diazenyl]-1H-pyrazole-3-carboxylate', '4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H-Pyrazole-3-carboxylic acid, trisodium salt', 'trisodium (4E)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate', 'trisodium (4Z)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate']","Liquid concentrate,Cosmetic, lip product, colorant,colorant,color additive,Colorant,Dye,dye,fragrance component,cosmetic colorant,hair dyeing,technical color"
50,ACRYLATES COPOLYMER,,,286.32,1.10 (30% aq.),C14H22O6,,"['Acrylates copolymer', 'ethyl prop-2-enoate', ' 2-methylprop-2-enoic acid', 'Acrylic acid-acrylate polymer', ' methyl 2-methylprop-2-enoate', 'acrylic acid terpolymer, partial sodium salts', 'Ethyl acrylateÂ·methacrylic acidÂ·methyl methacrylate copolymer', 'polymer with ethyl 2-propenoate and methyl 2-methyl-2-propenoate', 'ethyl prop-2-enoate,methyl 2-methylprop-2-enoate,2-methylprop-2-enoic acid', '2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate and methyl 2-methyl-2-propenoate']",
51,ACRYLATES PVP COPOLYMER,,,,,,,,
52,ACRYLATES VA COPOLYMER,,,,,,,,
53,ADENOSINE,,"Soluble in water, ammonium hydroxide and dimethyl sulfoxide. Insoluble in ethanol.",267.24,1.3382 (rough estimate),C10H13N5O4,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"['AR', 'Adenosine', 'D-ADENOSINE', 'ADENINENUCLEOSIDE', 'adenosine free base', '9-BETA-D-RIBOFURANOSYLADENINE', 'ADENOSINE extrapure for biochemistry', '9-alpha-D-lyxofuranosyl-9H-purin-6-amine', '6-Amino-9-(beta-D-ribofuranosyl)9H-purine', 'Adenine  riboside,  Adenine-9-beta-ribofuranoside', '9-Î²-D-Ribofuranosyladenine,  Adenine  riboside,  Adenine-9-Î²-D-ribofuranoside', '(2R,3R,4S,5R)-2-(6-AMINO-PURIN-9-YL)-5-HYDROXYMETHYL-TETRAHYDRO-FURAN-3,4-DIOL']","skin conditioning,skin-conditioning agent - miscellaneous"
54,ADENOSINE PHOSPHATE,,Soluble in water.,347.22,2.32Â±0.1 g/cm3(Predicted),C10H14N5O7P,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,"['AMP', 'a5mp', '5-AMP', 'adenyl', 'adenovite', 'cardiomone', 'Adenylic acid', '5-Adenylic acid', 'amp[nucleotide]', 'amp(nucleotide)', 'adenosine phosphate', 'OLS) 18, 20-HEMIKETAL', 'Adenosine-5-monophoshpate', 'Adenosine 5-monophosphate', 'Adenosine-5-monophosphoric acid', 'adenosine,mono(dihydrogenphosphate)(ester)', ')-monophosphate disodium salt (mixed isomers)', '9-(5-O-phosphono-alpha-D-lyxofuranosyl)-9H-purin-6-amine']","skin conditioning,skin-conditioning agent - miscellaneous"
55,ADENOSINE TRIPHOSPHATE,,1.35,507.18,1.0g/mLat 20°C,C10H16N5O13P3,[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@]([H])([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,"['ATP-H', 'striadyne', 'triadenyl', 'myotriphos', 'glucobasin', 'triphosaden', 'Adenosine triphosphate', 'Adenosine-5-triphosphoric acid', 'ADENOSINE-5-TRIPHOSPHORIC ACID (ATP) pure', '9-[5-O-(hydroxy{[hydroxy(phosphonooxy)phosphoryl]oxy}phosphoryl)pentofuranosyl]-9H-purin-6-amine', '((2R,3S,4R,5R)-5-(6-Amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl tetrahydrogen triphosphate']","skin conditioning,skin-conditioning agent - miscellaneous"
56,ADIPIC ACID,,1.44 g/100 mL (15 °C),146.14,"1,36 g/cm3",C6H10O4,OC(=O)CCCCC(O)=O,"['ADIPIC ACID', 'Adipic acid', 'hexanedioate', 'adipinic acid', 'Hexanedioic acid', 'AKOS BBS-00004308', 'Refined adipic acid', 'RARECHEM AL BO 0180', 'DICARBOXYLIC ACID C6', '1,6-HEXANEDIOIC ACID', '1,4-BUTANEDICARBOXYLIC ACID', 'BUTANE-1,4-DICARBOXYLIC ACID']","---,Hair Conditioning Agent,Miscellaneous,backing,buffering,masking,fragrance ingredient,ph adjuster,flavouring"
57,ADIPIC ACID DIMETHYLAMINOHYDROXYPROPYL DIETHYLENETRIAMINE COPOLYMER,,,,,,,,
58,ADIPIC ACID EPOXYPROPYL DIETHYLENETRIAMINE COPOLYMER,,,,,,,,
59,AGAR,,SOLUBLE IN HOT WATER,336.33496,Not found,C14H24O9, ,"['Agar', ' Gelose ', 'Agar-Agar', 'MACCONKEY AGAR', 'MACCONKEY AGAR CS', 'MAC CONKEY MUG AGAR', 'MAC CONKEY AGAR NO 1', 'MACCONKEY BROTH PURPLE', 'VEGITONE MACCONKEY AGAR NO 1', 'MACCONKEY AGAR NO 1, VEGITONE', 'MACCONKEY BROMOCRESOL PURPLE BROTH']","Binders and Extenders,fragrance component,binding,masking,viscosity controlling,binder,fragrance ingredient,viscosity increasing agent - aqueous"
60,AGAROSE,,Not found, ,1.00g/mLat 20°C,C24H38O19, ,"['Agarose', 'AGAROSE', 'AGAROSE 1', 'AGAROSE 15', 'AGAROSE 10', 'Agarose LE', 'Agarose ME', 'Sepharose?6B', 'particle size', 'Agarose, ultra', 'LOW EEO AGAROSE', 'Sepharose CL-6B', 'SEPHAROSE CL-6B', 'agarose, mixture', 'SEPHAROSE(R) CL-6B', 'sepharose CL-6B-200', 'high resolution agarose', 'TOPVISION(TM) LE GQ AGAROSE', 'LOW ELECTROENDOSMOSIS AGAROSE', 'agarose for molecular biology', 'agarose 6 B for chromatography', '5-Chloro-1,3-dimethyladamantane', 'Agarose, Molecular Biology Grade', 'Agaroseplasmaelectrophoresisgrade', 'sepharose(R) 4B for chromatography', 'sepharose(R) 6B for chromatography', 'sepharose(R) cl-6B for chromatography', 'LOW-MELTING-POINT, MULTI-PURPOSE AGAROSE', 'Agaroseforelectrophoresisofmacromolecules', 'Agarose, medium EEO, Molecular Biology Grade']","skin conditioning,viscosity controlling"
61,ALANINE,-0.68[2],166.5 g/L (25 °C),89.09,"1,432 g/cm3",C3H7NO2,C[C@H](N)C(O)=O,"['Ala', 'Alanine', 'H-Ala-OH', 'L-Alanine', 'L-alanine-12C3', 'L-Alpha-Alanine', '2-Aminopropanoicacid', '2-Aminopropanoic acid', 'Tenofovir Impurity 80', '2-Aminopropanoic Acid', '2-Amino-Propionic Acid', '(S)-2-AminopropansÎ±ure', '(S)-2-AminopropionsÎ±ure', 'L-2-Aminopropionic acid', '(s)-2-aminopropanoicacid', 'Aspartic Acid Impurity 6', '(S)-2-Aminopropanoic acid']",flavouring
62,ALANINE GLUTAMATE,,,218.21,1.362Â±0.06 g/cm3(Predicted),C8H14N2O5,,"['ALA-GLU', 'Ala-Glu-OH', 'H-ALA-GLU-OH', 'alanylglutamate', 'ALANINE GLUTAMATE', 'Alanylglutamic acid', 'L-alanyl-glutamic acid', 'L-ALANYL-L-GLUTAMIC ACID']",
63,ALCLOXA,-314,0.57 g/100 mL (25 °C) 4.0 g/100 mL (75 °C),314.55,1.45 g/cm3,C4H9Al2ClN4O7, ,"['alca', 'ALCLOXA', 'chlorhydroxyaluminumallantoinate', 'aluminiumchlorohydroxyallantoinate', 'chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetrahydroxydi-aluminu', 'chloro((2,5-dioxo-4-imidazolidinyl)ureato)tetrahydroxydi-aluminu', 'chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetrahydroxydi-Aluminum', 'chlorotetrahydroxy((2-hydroxy-5-oxo-2-imidazolin-4-yl)ureato)di-aluminu', 'aluminum,chloro-[(2,5-dioxoimidazolidin-4-yl)carbamoylamino]aluminum,tetrahydrate']","antimicrobial,astringent"
64,ALCOHOL,,miscible,46.07,0.789,C2H6O,CCO,"['EtOH', 'Etanol', 'Tecsol', 'Alkohol', 'alcohol', 'Ethanol', 'Algrain', 'Etanolo', 'Alcohol', 'HSDB 82', 'Alcohols', 'Anhydrol', 'Tecsol C', 'Aethanol', 'CCRIS 945', 'NSC 85228', 'NCI-C03134', 'Ethylalcohol', 'Hydroxyethane', 'Aethylalkohol', 'Ethyl hydrate', 'Ethyl Alcohol', 'Grain alcohol', 'Alcohol, ethyl', 'Alcool etilico', 'Methylcarbinol', 'Cologne Spirit', 'edible alcohol', 'Potato alcohol', 'Edible ethanol', 'Ethyl hydroxide', '1-Hydroxyethane', 'Spirits of wine', 'UNII-3K9958V90M', 'Etylowy alkohol', 'Ethanol solution', 'Ethanol absolute', 'Absolute ethanol', 'Alcool ethylique', 'Alcohol, diluted', 'absolute alcohol', 'FEMA Number 2419', 'Molasses alcohol', 'ethanol 200 proof', 'Denatured ethanol', 'anhydrous alcohol', 'Distilled spirits', 'anhydrous ethanol', 'Denatured alcohol', 'Alcohol, anhydrous', 'Alcohol dehydrated', 'Alkoholu etylowego', 'Dehydrated alcohol', 'Ethanol, undenatured', 'Alcohol disinfectant', 'Fermentation alcohol', 'SD Alchol 23-hydrogen', 'Ethyl alcohol anhydrous', 'Alcohol (ethyl alcohol)', 'Ethyl alcohol, undenatured', 'ethanol (fermentation method)', 'anhydrous ethanol (pharmaceutical)']","Personal care,Hair Styling Product,Body Mist,Hand Sanitizer,Non-Aerosol Hairspray,Solvent,process aid, process aid,processing aid - stabilizer,solvent,drying aid, drying aid, solvent, removes dirt and soils from floor and,solvents,Solvents,antimicrobial,sealant,thickening agent component,cosolvent,defoamer,composition on ingredients of sher-wood hi-bild precat lacquer, dre,surfactant,antifoaming / antimicrobial / astringent / masking / solvent viscosity controling,antifoaming / antimicrobial / astringent / masking / solvent viscosity controlling,antifoaming / antimicrobial / astringent / masking / solvent / viscosity controlling,solubilizer,solvent, antimicrobial,Fragrance,Drying agent,Delivery vehicle,fragrance component,diluent,solublizer,carrier,fragrances,Solubilizer,antifoaming,astringent,masking,viscosity controlling,antifoaming agent,antimicrobial agent,cosmetic astringent,fragrance ingredient,viscosity decreasing agent,flavouring,Surfactant,admixture ingredient"
65,ALDIOXA,-314,0.57 g/100 mL (25 °C) 4.0 g/100 mL (75 °C),,1.45 g/cm3,C4H6N4O3,,,
66,ALEURITIC ACID,,1.79,304.42,1.08,C16H32O5,OCCCCCC[C@H](O)[C@@H](O)CCCCCCCC(O)=O,"['ALEURITIC ACID', 'ALEURITIC ACID, 9,10,16- TRIHYDROXYPALMIT IC ACID']",
67,ALGINIC ACID,,Insoluble in water.,176.12,1.67g/cm3,(C6H8O6)n, ,"['Sazzio', 'sazzio', 'Kelacid', 'norgine', 'Norgine', 'kelacid', 'A 2830-9', 'Alginate', 'HSDB 2967', 'landalgine', 'Landalgine', 'CCRIS 6769', 'Protanal LF', 'Alginic Acid', 'ALGINIC ACID', 'Verdyol Super', 'Acid Algin G 2', 'Satialgine-H 8', 'UNII-8C3Z4148WZ', 'Snow acid algin G', 'polymannuronicacid', 'Polymannuronic acid', 'Alginic acid ammonium', 'beta-D-mannopyranuronic acid', 'Alginic acid from brown algae, AR', 'methyl 4-O-(4-O-methylhexopyranuronosyl)hexopyranosiduronic acid']","rinse aid,binder,skin-conditioning agent - miscellaneous,viscosity increasing agent - aqueous,binding,skin conditioning,viscosity controlling,viscosity modifier"
68,ALKANNA TINCTORIA EXTRACT,,,,,,,,
69,ALLANTOIN,-314,Slightly soluble in water. Freely soluble in alkalis,158.12,1.6031 (rough estimate),C4H6N4O3,NC(=O)NC1NC(=O)NC1=O,"['ALL', 'Sebical', 'Alantan', 'Alphosyl', 'Allantin', 'Allegron', 'Egopsoryl', 'Allantion', 'ALLANTOIN', 'Allantoin', 'Cordianine', 'Alyonyldiurened', '5-Ureidohydantoin', '5-UREIDOHYDANTOIN', '(2,5-dioxo-4-imidazolidinyl)urea', '(2,5-dioxo-4-imidazolidinyl)-urea', '(2,5-Dioxo-4-Imidazo-Lidinyl)Urea ', '1-(2,5-dioxoimidazolidin-4-yl)urea', '1-[(4S)-2,5-dioxoimidazolidin-4-yl]urea', '1-[(4R)-2,5-dioxoimidazolidin-4-yl]urea']","Skin Conditioning Agent,Sunscreen,soothing,Conditioner,Skin conditioning agent,Skin protectant,Active  skin protectant,fragrance component,skin-conditioning agent - miscellaneous,skin protectant,skin conditioning,skin protecting"
70,ALLANTOIN ACETYL METHIONINE,,,,,,,,
71,ALLANTOIN ASCORBATE,,,,,,,,
72,ALLANTOIN BIOTIN,,Not found,402.43,Not found,C14H22N6O6S,NC(=O)NC1NC(=O)NC1=O.OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,"ALLANTOIN BIOTIN,allantoin biotin","antiseborrhoeic,skin conditioning,skin protecting,soothing"
73,ALLANTOIN CALCIUM PANTOTHENATE,,Not found,417.431,Not found,C13H23CaN5O8,[Ca++].NC(=O)NC1NC(=O)NC1=O.CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,allantoin calcium pantothenate,"skin conditioning,skin protecting,soothing"
74,ALLANTOIN GALACTURONIC ACID,,Not found,352.256,Not found,C10H16N4O10,NC(=O)NC1NC(=O)NC1=O.OC1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,"ALLANTOIN GALACTURONIC ACID,allantoin galacturonic acid","skin conditioning,skin protecting,soothing"
75,ALLANTOIN GLYCYRRHETINIC ACID,,,,,,,,
76,ALLANTOIN PABA,,,,,,,,
77,ALLANTOIN POLYGALACTURONIC ACID,,,352.25484,,C10H16N4O10,,"['ALLANTOIN POLYGALACTURONIC ACID', 'Allantoin-polygalacturonic acid complex', 'D-Galacturonic acid, homopolymer, compd. with (2,5-dioxo-4-imidazolidinyl)urea']",
78,ALLYL CAPROATE,,PRACTICALLY INSOLUBLE,156.22,0.887 g/mL at 25 °C (lit.),C9H16O2,,"['FEMA 2032', 'Ally caproate', 'ALLYL CAPROATE', 'allyl caproate', 'ALLYL HEXANOATE', 'Allyl hexanoate', 'ALLYL N-HEXANOATE', 'Propylene caproate', 'CAPROIC ACID ALLYL ESTER', 'prop-2-en-1-yl hexanoate', 'HEXANOIC ACID ALLYL ESTER']",
79,ALPHA DAMASCONE,,2.93e-3,192.302,0.898,C13H20O,CC=CC(=O)C1C(C)=CCCC1(C)C,"buten-1-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-,alpha-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one,alpha-damascone,alpha-Damascone","fragrance,fragrance component,masking,perfuming,flavouring"
