id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
76,Alcohol,,miscible,46.07,0.789,C2H6O,,"EthanolAlcoholDistilled spiritsEthanol, undenatured,Ethyl alcohol, undenatured,1-HydroxyethaneAbsolute ethanolAethanolAethylalkoholAlcohol (ethyl alcohol)Alcohol dehydratedAlcohol, anhydrous,Alcohol, diluted,Alcohol, ethyl,AlcoholsAlcool ethyliqueAlcool etilicoAlgrainAlkoholAlkoholu etylowegoAnhydrolCCRIS 945Caswell No. 430Cologne SpiritDehydrated alcoholDenatured alcoholDenatured ethanolEtOHEtanoloEthanol solutionEthyl alcohol anhydrousEthyl hydrateEthyl hydroxideEthylalcoholEtylowy alkoholFEMA Number 2419Fermentation alcoholGrain alcoholHSDB 82HydroxyethaneMethylcarbinolMolasses alcoholNCI-C03134NSC 85228Potato alcoholSD Alchol 23-hydrogenSpirits of wineTecsolTecsol CUNII-3K9958V90Methanol (fermentation method)anhydrous ethanolanhydrous alcoholanhydrous ethanol (pharmaceutical)absolute alcoholalcoholedible alcoholEthanol absoluteEdible ethanolethanol 200 proofEtanolAlcohol disinfectant",
77,Aldioxa,,,,,,,,
78,Aleuritic Acid,,,304.422,1.085g/cm3,C16H32O5,,"9,10,16-Trihydroxypalmitic acid,Aleuritic acid9,10,16-trihydroxyhexadecanoic acid,erythro-Aleuritic acidDL-erythro-9,10,16-Trihydroxypalmitic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoate,(9S,10R)-9,10,16-trihydroxyhexadecanoic acid,(9S,10S)-9,10,16-trihydroxyhexadecanoic acid,",
79,Aleuritic Acid,,,304.422,1.085g/cm3,C16H32O5,,"9,10,16-Trihydroxypalmitic acid,Aleuritic acid9,10,16-trihydroxyhexadecanoic acid,erythro-Aleuritic acidDL-erythro-9,10,16-Trihydroxypalmitic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoate,(9S,10R)-9,10,16-trihydroxyhexadecanoic acid,(9S,10S)-9,10,16-trihydroxyhexadecanoic acid,",
80,Aleuritic Acid,,,304.422,1.085g/cm3,C16H32O5,,"9,10,16-Trihydroxypalmitic acid,Aleuritic acid9,10,16-trihydroxyhexadecanoic acid,erythro-Aleuritic acidDL-erythro-9,10,16-Trihydroxypalmitic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoate,(9S,10R)-9,10,16-trihydroxyhexadecanoic acid,(9S,10S)-9,10,16-trihydroxyhexadecanoic acid,",
81,Aleuritic Acid,,,304.422,1.085g/cm3,C16H32O5,,"9,10,16-Trihydroxypalmitic acid,Aleuritic acid9,10,16-trihydroxyhexadecanoic acid,erythro-Aleuritic acidDL-erythro-9,10,16-Trihydroxypalmitic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoic acid,(9R,10S)-9,10,16-trihydroxyhexadecanoate,(9S,10R)-9,10,16-trihydroxyhexadecanoic acid,(9S,10S)-9,10,16-trihydroxyhexadecanoic acid,",
82,Alginic Acid,,,176.12,1.67g/cm3,(C6H8O6)n,,NorgineA 2830-9Acid Algin G 2AlginateCCRIS 6769HSDB 2967KelacidLandalginePolymannuronic acidProtanal LFSatialgine-H 8SazzioSnow acid algin GUNII-8C3Z4148WZVerdyol Superbeta-D-mannopyranuronic acidmethyl 4-O-(4-O-methylhexopyranuronosyl)hexopyranosiduronic acid,
83,Alkanna Tinctoria Extract,,,,,,,,
84,Allantoin,,,158.12,1.65g/cm3,C4H6N4O3,,"Alantan5-UreidohydantoinAllantion(2,5-dioxo-4-imidazolidinyl)-urea,(2,5-Dioxo-4-Imidazo-Lidinyl)Urea,1-(2,5-dioxoimidazolidin-4-yl)urea,1-[(4R)-2,5-dioxoimidazolidin-4-yl]urea,1-[(4S)-2,5-dioxoimidazolidin-4-yl]urea,AllegronAlphosylAlyonyldiurenedCordianineEgopsorylSebical",
85,Allantoin Acetyl Methionine,,,,,,,,
86,Allantoin Ascorbate,,,,,,,,
87,Allantoin Biotin,,,,,,,,
88,Allantoin Calcium Pantothenate,,,,,,,,
89,Allantoin Galacturonic Acid,,,,,,,,
90,Allantoin Glycyrrhetinic Acid,,,,,,,,
91,Allantoin Paba,,,,,,,,
92,Allantoin Polygalacturonic Acid,,,,,,,,
93,Allyl Caproate,,PRACTICALLY INSOLUBLE,156.222,0.889g/cm3,C9H16O2,,allyl caproateAlly caproateprop-2-en-1-yl hexanoate,
94,Alpha Damascone,,,,,,,,
95,Alumina,,,142.26,,Al2MgO4,,Alumina magnesiaAluminum magnesium oxide (Al2MgO4)Aluminum magnesium oxide (MgAl2O4)Cernel IDialuminum magnesium tetraoxideMagnesium aluminate (Mg(AlO2)2)Magnesium aluminate (MgAl2O4)Magnesium aluminum oxide (MgAl2O4)Dialuminium magnesium tetraoxidedialuminum magnesium oxygen(-2) anionMagnesium aluminate,
96,Aluminum Acetate,,,86.0245,,C6H9AlO6,,Aluminum Acetatealuminum triacetate,
97,Aluminum Behenate,,,,,,,,
98,Aluminum Benzoate,,,,,,,,
99,Aluminum Caprylate,,,,,,,,
100,Aluminum Chloride,,,98.8955,,HAlCl2,,Aluminum Chloride Anhydrousdichloro(hydrido)aluminum,
101,Aluminum Chlorohydrate,,,79.4402,,Al2ClH9O7,,"ALUMINUM CHLOROHYDROXIDEALUMINUM CHLOROHYDROXIDE, DIHYDRATE,Aluminum hydroxychlorideALUMINUM HYDROXYCHLORIDE, DIHYDRATE,MACROSPHERICAL(R) 95BASIC ALUMINUM CHLORIDECHLORHYDROL(R)POLYALUMINUM CHLORIDEaluminumchloroaluminumpentahydratealuminum hydrochloridealuminum chloride hydroxide",
102,Aluminum Diacetate,,,,,,,,
103,Aluminum Dichlorohydrate,,,,,,,,
104,Aluminum Dichlorohydrate,,,,,,,,
105,Aluminum Dilinoleate,,,,,,,,
106,Aluminum Dimyristate,,,,,,,,
107,Aluminum Fluoride,,,138.023,,H6AlF3O3,,Aluminum trifluoridealuminum trifluoride trihydrate,
108,Aluminum Formate,,,162.034,,C3H3AlO6,,Aluminium formateAluminum formatealuminum triformate,
109,Aluminum Glycinate,,,135.05,,C2H6AlNO4,,"o)dihydroxy-(glycinato-(beta-4)-aluminuALUMINIUM GLYCINATEAMINOACETIC ACID DIHYDROXYALUMINUM SALTALUMINUM GLYCINATEDIHYDROXYALUMINIUM GLYCINATEDIHYDROXYALUMINUM AMINOACETATEDIHYDROXYALUMINUM AMINOACETATE HYDRATEDIHYDROXYALUMINUM GLYCINATEglycine aluminumGlycine, aluminum salt,DIHYDROXYALUMINUMAMINOACETATEAluminum dihydroxy Glycinatealuminum tris(aminoacetate)dihydroxyaluminum(1+) aminoacetatealuminum tris[(dihydroxyamino)acetate]",
110,Aluminum Glycinate,,,135.05,,C2H6AlNO4,,"o)dihydroxy-(glycinato-(beta-4)-aluminuALUMINIUM GLYCINATEAMINOACETIC ACID DIHYDROXYALUMINUM SALTALUMINUM GLYCINATEDIHYDROXYALUMINIUM GLYCINATEDIHYDROXYALUMINUM AMINOACETATEDIHYDROXYALUMINUM AMINOACETATE HYDRATEDIHYDROXYALUMINUM GLYCINATEglycine aluminumGlycine, aluminum salt,DIHYDROXYALUMINUMAMINOACETATEAluminum dihydroxy Glycinatealuminum tris(aminoacetate)dihydroxyaluminum(1+) aminoacetatealuminum tris[(dihydroxyamino)acetate]",
111,Aluminum Glycinate,,,135.05,,C2H6AlNO4,,"o)dihydroxy-(glycinato-(beta-4)-aluminuALUMINIUM GLYCINATEAMINOACETIC ACID DIHYDROXYALUMINUM SALTALUMINUM GLYCINATEDIHYDROXYALUMINIUM GLYCINATEDIHYDROXYALUMINUM AMINOACETATEDIHYDROXYALUMINUM AMINOACETATE HYDRATEDIHYDROXYALUMINUM GLYCINATEglycine aluminumGlycine, aluminum salt,DIHYDROXYALUMINUMAMINOACETATEAluminum dihydroxy Glycinatealuminum tris(aminoacetate)dihydroxyaluminum(1+) aminoacetatealuminum tris[(dihydroxyamino)acetate]",
112,Aluminum Glycinate,,,135.05,,C2H6AlNO4,,"o)dihydroxy-(glycinato-(beta-4)-aluminuALUMINIUM GLYCINATEAMINOACETIC ACID DIHYDROXYALUMINUM SALTALUMINUM GLYCINATEDIHYDROXYALUMINIUM GLYCINATEDIHYDROXYALUMINUM AMINOACETATEDIHYDROXYALUMINUM AMINOACETATE HYDRATEDIHYDROXYALUMINUM GLYCINATEglycine aluminumGlycine, aluminum salt,DIHYDROXYALUMINUMAMINOACETATEAluminum dihydroxy Glycinatealuminum tris(aminoacetate)dihydroxyaluminum(1+) aminoacetatealuminum tris[(dihydroxyamino)acetate]",
113,Aluminum Hydroxide,,,96.02,,AlH5O4,,,
114,Aluminum Isostearate,,,,,,,,
115,Aluminum Lactate,,,294.2,,C9H15AlO9,,Aluminium LactateL-lactic acid aluminum saltAluminumlactateHOwhitepowderaluminium trilactatealuminum tris(2-hydroxypropanoate)aluminum 2-hydroxypropanoate,
116,Aluminum Methionate,,,,,,,,
117,Aluminum Myristate,,,,,,,,
118,Aluminum Pca,,,,,,,,
119,Aluminum Sesquichlorohydrate,,,,,,,,
120,Aluminum Sesquichlorohydrex Pg,,,,,,,,
121,Aluminum Stearate,,,877.4,,C54H105AlO6,,"Aluminum StearateAluminum octadecanoateAluminum tristearatealuminum saltAluminium tristearatealuminium (tri) stearateAluminium stearate techAluminium stearate white powderaluminium octadecanoateoctadecanoate, aluminum salt,",
122,Aluminum Sulfate,,soluble,342.15,,Al2O12S3,,"Aluminium SulphateAluminium Sulfate, Dehydrate,Aluminium sulfate,non-ferrous,Aluminum sulphateAluminium Sulfate",
123,Aluminum Tristearate,,,877.4,,C54H105AlO6,,"Aluminum StearateAluminum octadecanoateAluminum tristearatealuminum saltAluminium tristearatealuminium (tri) stearateAluminium stearate techAluminium stearate white powderaluminium octadecanoateoctadecanoate, aluminum salt,",
124,Aluminum Zirconium Octachlorohydrate,,,,,,,,
125,Aluminum Zirconium Pentachlorohydrate,,,,,,,,
126,Aluminum Zirconium Pentachlorohydrex Gly,,,,,,,PENTACHLOROHYDREX -AZGPentachloroAluminum Zirconium Gly,
127,Aluminum Zirconium Tetrachlorohydrate,,,,,,,,
128,Aluminum Zirconium Trichlorohydrate,,,,,,,,
129,4-Amino-3-Nitrophenol,,soluble,154.12,1.511g/cm3,C6H6N2O3,,2-Amino-5-hydroxynitrobenzene4-Hydroxy-2-nitroaniline3-nitro-4-aminophenol,
130,2-Aminobutanol,,,89.14,0.944,C4H11NO,,"D(+)-2-Amino-1-butanol1-Butanol, 2-amino-, (2R)-,L-Amino-1-butanolL-2-aminobutanolL-2-Amino-1-butanol2-AminobutanolD-(+)-Amino butanolD-(+)-2-Amino butanolD-Amino-1-butanol(2R)-1-hydroxybutan-2-aminiumR(-)-2-Amino-1-Butanol",
131,2-Amino-6-Chloro-4-Nitrophenol,,,188.57,,C6H5ClN2O3,,"6-Chloro-4-Nitro-2-AminophenolPhenol, 2-Amino-6-Chloro-4-Nitro-,6-Chloro-2-Amino-4-Nitro Phenol",
132,5-Amino-6-Chloro-O-Cresol,,,157.6,1.331g/cm3,C7H8ClNO,,6-Chloro-5-amino ortho cresolCAOC6-chloro-5-amino-o-cresol3-AMINO-2-CHLORO-6-METHYLPHENOL3-amino-2-chlor-6-methylphenol5-AMINO-6-CHLORO-O-CRESOL2-chloro-3-amino-6-methylphenol2-METHYL-5-AMINO-6-CHLOROPHENOL,
133,"5-Amino-2,6-Dimethoxy-3-Hydroxypyridine",,,,,,,,
134,Aminoethyl Propanediol,,,,,,,,
135,Aminoethyl Sulfate,,,,,,,,
136,2-Amino-4-Hydroxyethylaminoanisole,,,,,,,,
137,2-Amino-4-Hydroxyethylaminoanisole Sulfate,,,,,,,,
138,2-Amino-3-Hydroxypyridine,,,110.11,,C5H6N2O,,"2-Amino-3-pyridinol3-Hydroxy-2-pyridinamine2-aminopyridin-3-ol2-amino-3-hydroxypyridinium3-pyridinol, 2-Amino-,3-Hydroxy-2-aminopyridine2-Amino-3-pyridol",
139,4-Amino-2-Hydroxytoluene,,,,,,,,
140,4-Amino-M-Cresol,,insoluble,123.15,0.955g/cm3,C7H9NO,,4-Amino-3-methylphenol4-Amino-m-cresol (OH=1)4-amino-meta-cresol4-Amino-3-methyl phenol4-amino-3-methylphenoltert-butyl prop-2-en-1-yl carbonate,
141,6-Amino-M-Cresol,,soluble,123.15,,H2NC6H3(CH3)OH,,2-Amino-5-methylphenol6-Amino-m-cresol (OH=1)6-amino-meta-cresol,
142,Aminomethyl Propanediol,,,,,,,,
143,Aminomethyl Propanol,,,,,,,,
144,4-Amino-2-Nitrodiphenylamine-2'-Carboxylic Acid,,,,,,,,
145,2-Amino-3-Nitrophenol,,,154.12,,C6H6N2O3,,"2-Amino-3-nitrophenol1-Hydroxy-2-amino-3-nitrobenzene3-Nitro-2-aminophenolPhenol, 2-amino-3-nitro-,CCRIS 2544",
146,6-Amino-O-Cresol,,,123.15,1.157g/cm3,C7H9NO,,6-Amino-o-cresol2-Methyl-6-aminophenol2-amino-6-methylphenol6-AMINO-2-METHYL PHENOL,
147,3-Aminopropane Sulfonic Acid,,,161.16,,C3H8NO3SNa,,"3-Aminopropane sulfonic acid, sodium salt Homotaurine, sodium salt,1-propanesulfonic acid, 3-amino-, monosodium salt, monohydrate,3-Amino-1-propanesulfonic acid, sodium salt,",
148,Aminopropyl Laurylglutamine,,,,,,,,
149,Aminotrimethylene Phosphonic Acid,,,,,,,,
150,Ammonia,,soluble,17.03,0.6818,NH3,,"ammonia,anhydrous,Ammonia Solution Sg 0.91 - ANALYPURLiquid Ammoniaam-folammonia(anhydrous)ammonia(non-specificname)Ammonia, anhydrous,ammonia00ammoniaanhydrous",
151,Ammonium Acetate,,1480 g/L (20???),77.08,,C2H7NO2,,Acetic acid ammonium saltAmmoniumacetateanhydrousACSwhitextlAmmonium acetate,
152,Ammonium Alginate,,,333.34,,C13H16N3NaO4S,,"Analginsodium ((2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1h-pyrazol-4-yl)methylamino)methanesulfonate,metamizole sodiumSodium [(2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylamino]methanesulphonate,Dipyrone,hydrate,Analgin DAB10[(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)(methyl)amino]methanesulfonate,sodium [(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)(methyl)amino]methanesulfonate,[(1,5-dimethyl-3-oxo-2-phenyl-pyrazolidin-4-yl)-methyl-amino]methylsulfonyloxysodium,Alginic acid, ammoniumsalt,AmmoniumalginateAmoloid HVAmoloid LVAnalgineCollatex Arm ExtraDigamonDuckammonE 403Kimica Algin NHKimitsu Algin NHManutex PC-MVProtamon SProtomonSnow AmmonSuperloidSodium [(2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylamino]methanesulfonate,Ammonium alginate",
153,Ammonium Alum,,15g/100ml,237.15,,AlH4NO8S2,,Aluminium ammonium sulfateAmmonium Aluminum Sulfatealuminum ammonium disulfateAluminum ammonium alum,
154,Ammonium Benzoate,,soluble,139.15,1.197g/cm3,C6H5COONH4,,"Ammonium benzoatebenzoic acid, ammonium salt,(aminooxy)(phenyl)methanone",
155,Ammonium Bicarbonate,,220 g/L (20???),79.06,,CH5NO3,,"Ammonium hydrogen carbonateacid ammonium carbonateAmmonium acid carbonateCarbonic Acid, Monoammonium Salt,",
156,Ammonium Bisulfite,,soluble,99.1096,,NH4.HSO3,,"Solfurous acid, monoammonium salt,ammonium acid sulfiteammonium hydrogen sulfiteammonium hydrosulfiteammonium monosulfiteammonium sulfite, hydrogen,monoammonium sulfitesulfurous acid, monoammonium salt,ammonium hydrogensulphiteammoniumhydrogensulphiteSolfurous acid,monoammonium salt,AmmoniumBisulphiteSolutiondiammonium sulfite",
157,Ammonium Carbamate,,,78.0705,,CH6N2O2,,"Ammonium aminoformateCarbamic acid, ammonium salt,Carbamic acid, monoammonium salt,HSDB 485UNII-I2W9615SWP",
158,Ammonium Carbonate,,SOLUBLE,96.09,,CH8N2O3,,"Diammonium carbonateAI3-25347Ammonia sesquicarbonateAmmoniumcarbonat [German]CCRIS 7328Carbonic acid, diammonium salt,Caswell No. 042Crystal ammoniaEPA Pesticide Chemical Code 073501HSDB 6305UNII-PDP691CN28",
159,Ammonium Chloride,,soluble,53.4916,,NH4Cl,,SalmiacAmchlorammonium muriateDarammonSal ammoniacSalammoniteammonium chloride,
160,Ammonium Cocoyl Isethionate,,,,,,,,
161,Ammonium Cumenesulfonate,,,,,,,,
162,Ammonium Fluoride,,soluble,37.0369,,NH4F,,"Ammonium fluoride solutionAmmoniumfluorideACSwhitextlAmmonium fluoride, soluion,Neutral ammonium fluorideAmmoniumfluordeammoniumfluoride((nh4)f)ammoniumfluorureammoniumfluorure(french)fluorekamonowy",
163,Ammonium Glycolate,,,,,,,,
164,Ammonium Glycyrrhizate,,,,,,,,
165,Ammonium Hydroxide,,,35.0458,,NH3??H2O,,AmmoniaAmmonia water (JP15)Ammoniac [French]Ammoniaca [Italian]AmmoniakAmoniak [Polish]AZANNitro-silPeramineAmmonia water,
166,Ammonium Iodide,,,144.94,,H4IN,,Ammonium jodatumAmmonium-iodidHSDB 476UNII-OZ8F027LDHAmmonium iodide ((NH4)I),
167,Ammonium Isostearate,,,,,,,,
168,Ammonium Lactate,,,105.093,1.264g/cm3,C3H7NO3,,Ammonium lactate solutionammonium 2-hydroxypropanoate1-(aminooxy)-1-oxopropan-2-ol,
169,Ammonium Lactate,,,105.093,1.264g/cm3,C3H7NO3,,Ammonium lactate solutionammonium 2-hydroxypropanoate1-(aminooxy)-1-oxopropan-2-ol,
170,Ammonium Lauryl Sulfate,,,283.42,,C12H29NO4S,,Ammonium Lauryl Sulfate,
171,Ammonium Lauryl Sulfosuccinate,,,,,,,,
172,Ammonium Myreth Sulfate,,,,,,,,
173,Ammonium Myristyl Sulfate,,,,,,,,
174,Ammonium Nonoxynol-4 Sulfate,,,,,,,,
175,Ammonium Nonoxynol-30 Sulfate,,,,,,,,
176,Ammonium Oleate,,,299.492,,C18H37NO2,,"Ammonium 9-octadecenoate9-Octadecenoic acid, ammonium salt,Ammonium oleateAI3-36578Ammonia soapCaswell No. 046C9-Octadecenoic acid (9Z)-, ammonium salt,9-Octadecenoic acid (Z)-, ammonium salt,Oleic acid, ammonium salt (8CI),(9Z)-octadec-9-enoic acid ammoniateammonium (9E)-octadec-9-enoate",
177,Ammonium Oleate,,,299.492,,C18H37NO2,,"Ammonium 9-octadecenoate9-Octadecenoic acid, ammonium salt,Ammonium oleateAI3-36578Ammonia soapCaswell No. 046C9-Octadecenoic acid (9Z)-, ammonium salt,9-Octadecenoic acid (Z)-, ammonium salt,Oleic acid, ammonium salt (8CI),(9Z)-octadec-9-enoic acid ammoniateammonium (9E)-octadec-9-enoate",
178,Ammonium Oleate,,,299.492,,C18H37NO2,,"Ammonium 9-octadecenoate9-Octadecenoic acid, ammonium salt,Ammonium oleateAI3-36578Ammonia soapCaswell No. 046C9-Octadecenoic acid (9Z)-, ammonium salt,9-Octadecenoic acid (Z)-, ammonium salt,Oleic acid, ammonium salt (8CI),(9Z)-octadec-9-enoic acid ammoniateammonium (9E)-octadec-9-enoate",
179,Ammonium Persulfate,,582 g/L (20???) decomposes,228.201,,(NH4)2S2O8,,"Ammonium peroxydisulfateAmmonium persulfate Ammonium peroxodisulfateAmmonium peroxodisulfatediammonium peroxodisulphateAmmonium persulphateAmmonium persulfate, Molecular Biology Grade Ammonium peroxodisulfate, Molecular Biology Grade,Ammonium peroxydisulphateAMMONIUM PEROXODISULPHATEdiammonium [(sulfonatoperoxy)sulfonyl]oxidanide[dioxybis(sulfonyloxy)]diammoniumdiammonium oxidooxysulfonyl sulfatediammonium dioxidan-2-idesulfonate",
180,Ammonium Phenolsulfonate,,,,,,,,
181,Ammonium Polyacrylate,,,72.06,,C3H4O2,,"ACRYLIC ACID, AMMONIUM SALT POLYMER,AMMONIUM POLYACRYLATE2-Propenoic acid, homopolymer, ammonium salt,Polyacrylsure, Ammoniumsalz,POLY(AMMONIUM ACRYLATE)",
182,Ammonium Propionate,,,91.1091,,C3H9NO2,,"Propionic acid ammoniumPropionic acid, ammonium salt,Propanoic acid, ammonium salt,Propanoic acid,ammonium salt,Luprosil NC",
183,Ammonium Stearate,,,301.52,,C18H39NO2,,"Ammonium stearateOctadecanoic acid, ammonium salt,AI3-03102Ammonium stearate, pure,Stearic acid, ammonium salt,",
184,Ammonium Sulfate,,77 g/100 mL (25???),132.14,1.76,H8N2O4S,,"ammonium sulfate, solution,diammonium sulfatesulfate, ammonium,sulfuric acid, diammonium salt,ammonium sulphateAmmoniasulfate",
185,Ammonium Thioglycolate,,Miscible,109.147,,C2H7NO2S,,"Ammonium mercaptoacetateAmmonium thioglycollate solutionHair waving agentAcetic acid, mercapto-, monoammonium salt,ammonium sulfanylacetate",
186,Ammonium Thiolactate,,,,,,,,
187,Ammonium Xylenesulfonate,,,203.26,,C8H13NO3S,,"3,4-Dimethylbenzenesulfonic acid ammonium salt,Xylenesulfonic acid ammonium salt, isomer mixture,Xylenesulfonic acid, ammonium salt,",
188,Ammonium Xylenesulfonate,,,203.26,,C8H13NO3S,,"3,4-Dimethylbenzenesulfonic acid ammonium salt,Xylenesulfonic acid ammonium salt, isomer mixture,Xylenesulfonic acid, ammonium salt,",
189,Amyl Acetate,,10 g/L (20???),130.185,0.882g/cm3,C7H14O2,,n-Amyl acetateAmyl Acetate (mixed isomers)Acetic acid n-pentyl estern-Amyl acetateAcetic Acid n-Amyl Esterpentyl acetateAmyl acetateNitrocellulose lacquer thinner,
190,Amyl Benzoate,,,192.25,,C12H16O2,,,
191,Amyl Cinnamal,,,,,,,,
192,Amyl Salicylate,,,208.254,1.085g/cm3,C12H16O3,,n-Pentyl-2-hydroxybenzoateAmyl SalicylatePentyl 2-hydroxybenzoate3-methylbutyl 2-hydroxybenzoatepentyl 2-hydroxybenzoate,
193,Amylodextrin,,,,,,,,
194,Amylopectin,,,828.718,1.85g/cm3,C30H52O26,,"AmiocaAmylopectinAmaizo 839Amioca WCSC*Pharm 12018Cato 225Cato 240Cato 270Cerestar SF 04201Farinex WM 85Film Kote 54Honen Alpha Waxy StarchKosolPectin, amylo,Starch, waxy,UNII-4XO4QFV777Ultraamylopectin NUltrasperse AWCSWaxy 7350Waxy Alpha YWaxy corn starchWaxy maize starchWaxy starchCorn starch amylopectinalpha-D-glucopyranosyl-(1->4)-[alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->6)]-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranose",
195,Anethole,,,148.2,,C10H12O,,AnetholeAnise camphor1-(p-methoxyphenyl)propene1-methoxy-4-(1-propenyl)benzene1-methoxy-4-propenylbenzenep-1-propenylanisolep-methoxy-beta-methylstyrenep-propenylphenyl methyl etherisoestragoleMethoxy-4-propenylbenzeneoil of aniseedPropenylanisoleNatural Anethole1-methoxy-4-[(1E)-prop-1-en-1-yl]benzene1-methoxy-4-[(1Z)-prop-1-en-1-yl]benzene,
196,Aqua,,,18.0151,0.998g/cm3,1H2O,,AquaDihydrogen oxideDeionized Ultra-filtered WaterHydrogen oxideIceSteamSterile Water For Injection,
197,Arachidic Acid,,Soluble in hot alcohol. Sparingly Soluble in water.,326.56,0.862g/cm3,C21H42O2,,"Eicosanoic acid, methyl ester,AI3-36455Methyl arachidateMethyl icosanoateArachidic Acid Methyl Ester",
198,Arachidonic Acid,,PRACTICALLY INSOLUBLE,304.47,0.928g/cm3,C20H32O2,,"5,8,11,14-eicosatetraenoic acid,icosa-5,8,11,14-tetraenoic acid,(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid,(5E,8E,11E,14E)-icosa-5,8,11,14-tetraenoic acid,ARA5,8,11,14-Eicosatetraenoic Acid (7CI,8CI,9CI),(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoic acid,",
199,Arachidyl Alcohol,,,298.55,0.838g/cm3,C20H42O,,1-icosanolArachidyl alcoholicosanol,
200,Arachidyl Behenate,,,621.12,,C42H84O2,,,
201,Arachidyl Glycol,,,,,,,,
202,Arachidyl Propionate,,,,,,,,
203,Arbutin,,10-15 g/100 mL at 20???,272.25,1.556g/cm3,C12H16O7,,Hydroquinone-beta-D-glucopyranoside4-hydroxyphenyl-beta-d-glucopyranosidep-arbutin-ArbutinHydroquinone glucoseArbutosie4-hydroxyphenyl hexopyranoside4-hydroxyphenyl beta-D-glycero-hexopyranoside4-hydroxyphenyl beta-D-glucopyranoside4-hydroxyphenyl beta-D-galactopyranosidebeta-arbutin,
204,Argilla,,,,,,,,
205,Arginine,,148.7 g/L (20???),174.202,,C6H14N4O2,,(S)-2-Amino-5-guanidinopentanoic acidH-Arg-OHL-Arginine baseArgL-2-Amino-5-guanidinopentanoic acidL(+)ArginineL(+)-Arginine(2S)-5-{[amino(iminio)methyl]amino}-2-ammoniopentanoateArginine2-amino-5-guanidino-pentanoic acid(S)-2-amino-5-guanidino-pentanoic acid,
206,Arginine Aspartate,,,,,,,,
207,Arginine Glutamate,,,321.33,,C11H23N5O6,,"argimatearginine glutamatearginine, glutamate, L-,Arginine l-glutamateginamateglutamic acid compd with L-arginineglutargingluteparL-ARGININE L-GLUTAMATEL-arginyl-L-glutamateL-glutamic acid, compd. with L-arginine,modumate",
208,Arginine Hcl,,,,,,,,
209,Arginine Hexyldecyl Phosphate,,,,,,,,
210,Arginine Pca,,,,,,,,
211,Ascorbic Acid,,333 g/L (20???),176.12,1.954g/cm3,C6H8O6,,"L-Ascorbic Acid, Free Acid,Vitamin CL-(+)-Ascorbic acidVCascorbic acidVita C BP2005Vitamine CL-threo-hex-1-enofuranos-3-ulose(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxyfuran-2(5H)-one (non-preferred name),5-(1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one (non-preferred name),Vit.CL(+)-Ascorbic Acid",
212,Ascorbyl Dipalmitate,,,,,,,,
213,Ascorbyl Dipalmitate,,,,,,,,
214,Ascorbyl Palmitate,,,414.53,1.15g/cm3,C22H38O7,,L-Ascorbic acid 6-palmitateAscorbylpalmitateVitamin C PalmitateL-Ascorbyl 6-PalmitateAscorbyl Palmitate6-O-hexadecanoylhex-1-enofuranos-3-ulose6-O-hexadecanoyl-L-threo-hex-1-enofuranos-3-uloseL-Ascorbic acid-6-phlmitate,
215,Ascorbyl Stearate,,,442.59,,C24H42O7,,,
216,Asiatic Acid,,,488.7,1.18g/cm3,C30H48O5,,"Urs-12en-28-oic acid, 2,3,23-trihydroxy-, (2alpha, 3beta, 4alpha)-,HSDB 7662NSC 166063Urs-12-en-28-oic acid, 2,3,23-trihydroxy-, (2alpha,3beta,4alpha)-,(2alpha,3beta)-2,3,23-trihydroxyurs-12-en-28-oic acid,2,3,23-trihydroxyurs-12-en-28-oic acid,(1S,2R,4aS,6aS,6bR,8aR,9R,10R,11R,12aR,14bS)-10,11-dihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid,(2alpha,3beta,5xi,9xi)-2,3,23-trihydroxyurs-12-en-28-oic acid,",
