id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
48,Acid Yellow 3,,225 g/L (20 °C),477.38,,C18H9NNa2O8S2,,"['C.I. 47005', 'Acid Yellow 3', 'c.i.foodyellow13', 'Quinoline Yellow', 'C.I. Acid Yellow 3', 'C.I. Food Yellow 13', 'Acid yellow 3 (C.I. 47005)', '2-(1,3-Dioxoindan-2-yl)quinolinedisulfonic acid sodium salt', '2-(2-Quinolyl)-1,3-indandione disulfonic acid disodium salt', 'disodium 2-(1,3-dioxo-2,3-dihydro-1H-inden-2-yl)quinoline-6,8-disulfonate']",
49,Acid Yellow 23,,260 g/L (30 °C),492.41,2.121[at 20°C],C16H13N4NaO9S2,,"['YELLOW 5', 'C.I. 640', 'TARTAZINE', 'C.I. 19140', 'TARTRAZINE', 'Tartrazine', 'WOOL YELLOW', 'Tartrazine C', 'TARTRAZINE O', 'Filter Yellow', 'Acid Yellow 23', 'Food Yellow No.4', 'C.I. Food Yellow 4', 'C.I. Acid Yellow 23', 'Tartrazine C.I.19140', 'C.I. Acid Yellow 23, trisodium salt', 'C.I. Acid Yellow 23, trisodium salt (VAN) (8CI)', 'Trisodium 1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylate', 'Trisodium 1-(4-sulfonatophenyl)-4-(4-sulfonatophenylazo)-5-pyrazolone-3-carboxylate', 'Dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylic acid, trisodium salt', 'Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-, trisodium salt', 'trisodium 5-hydroxy-1-(4-sulfonatophenyl)-4-[(E)-(4-sulfonatophenyl)diazenyl]-1H-pyrazole-3-carboxylate', '4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H-Pyrazole-3-carboxylic acid, trisodium salt', 'trisodium (4E)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate', 'trisodium (4Z)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate']",
50,Acrylates Copolymer,,,286.32,1.10 (30% aq.),C14H22O6,,"['Acrylates copolymer', 'ethyl prop-2-enoate', ' 2-methylprop-2-enoic acid', 'Acrylic acid-acrylate polymer', ' methyl 2-methylprop-2-enoate', 'acrylic acid terpolymer, partial sodium salts', 'Ethyl acrylateÂ·methacrylic acidÂ·methyl methacrylate copolymer', 'polymer with ethyl 2-propenoate and methyl 2-methyl-2-propenoate', 'ethyl prop-2-enoate,methyl 2-methylprop-2-enoate,2-methylprop-2-enoic acid', '2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate and methyl 2-methyl-2-propenoate']",
51,Acrylates Pvp Copolymer,,,,,,,,
52,Acrylates Va Copolymer,,,,,,,,
53,Adenosine,,"Soluble in water, ammonium hydroxide and dimethyl sulfoxide. Insoluble in ethanol.",267.24,1.3382 (rough estimate),C10H13N5O4,,"['AR', 'Adenosine', 'D-ADENOSINE', 'ADENINENUCLEOSIDE', 'adenosine free base', '9-BETA-D-RIBOFURANOSYLADENINE', 'ADENOSINE extrapure for biochemistry', '9-alpha-D-lyxofuranosyl-9H-purin-6-amine', '6-Amino-9-(beta-D-ribofuranosyl)9H-purine', 'Adenine  riboside,  Adenine-9-beta-ribofuranoside', '9-Î²-D-Ribofuranosyladenine,  Adenine  riboside,  Adenine-9-Î²-D-ribofuranoside', '(2R,3R,4S,5R)-2-(6-AMINO-PURIN-9-YL)-5-HYDROXYMETHYL-TETRAHYDRO-FURAN-3,4-DIOL']",
54,Adenosine Phosphate,,Soluble in water.,347.22,2.32Â±0.1 g/cm3(Predicted),C10H14N5O7P,,"['AMP', 'a5mp', '5-AMP', 'adenyl', 'adenovite', 'cardiomone', 'Adenylic acid', '5-Adenylic acid', 'amp[nucleotide]', 'amp(nucleotide)', 'adenosine phosphate', 'OLS) 18, 20-HEMIKETAL', 'Adenosine-5-monophoshpate', 'Adenosine 5-monophosphate', 'Adenosine-5-monophosphoric acid', 'adenosine,mono(dihydrogenphosphate)(ester)', ')-monophosphate disodium salt (mixed isomers)', '9-(5-O-phosphono-alpha-D-lyxofuranosyl)-9H-purin-6-amine']",
55,Adenosine Triphosphate,,,507.18,1.0g/mLat 20°C,C10H16N5O13P3,,"['ATP-H', 'striadyne', 'triadenyl', 'myotriphos', 'glucobasin', 'triphosaden', 'Adenosine triphosphate', 'Adenosine-5-triphosphoric acid', 'ADENOSINE-5-TRIPHOSPHORIC ACID (ATP) pure', '9-[5-O-(hydroxy{[hydroxy(phosphonooxy)phosphoryl]oxy}phosphoryl)pentofuranosyl]-9H-purin-6-amine', '((2R,3S,4R,5R)-5-(6-Amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl tetrahydrogen triphosphate']",
56,Adipic Acid,,1.44 g/100 mL (15 °C),146.14,"1,36 g/cm3",C6H10O4,,"['ADIPIC ACID', 'Adipic acid', 'hexanedioate', 'adipinic acid', 'Hexanedioic acid', 'AKOS BBS-00004308', 'Refined adipic acid', 'RARECHEM AL BO 0180', 'DICARBOXYLIC ACID C6', '1,6-HEXANEDIOIC ACID', '1,4-BUTANEDICARBOXYLIC ACID', 'BUTANE-1,4-DICARBOXYLIC ACID']",
57,Adipic Acid Dimethylaminohydroxypropyl Diethylenetriamine Copolymer,,,,,,,,
58,Adipic Acid Epoxypropyl Diethylenetriamine Copolymer,,,,,,,,
59,Agar,,SOLUBLE IN HOT WATER,336.33496,,C14H24O9,,"['Agar', ' Gelose ', 'Agar-Agar', 'MACCONKEY AGAR', 'MACCONKEY AGAR CS', 'MAC CONKEY MUG AGAR', 'MAC CONKEY AGAR NO 1', 'MACCONKEY BROTH PURPLE', 'VEGITONE MACCONKEY AGAR NO 1', 'MACCONKEY AGAR NO 1, VEGITONE', 'MACCONKEY BROMOCRESOL PURPLE BROTH']",
60,Agarose,,,,1.00g/mLat 20°C,C24H38O19,,"['Agarose', 'AGAROSE', 'AGAROSE 1', 'AGAROSE 15', 'AGAROSE 10', 'Agarose LE', 'Agarose ME', 'Sepharose?6B', 'particle size', 'Agarose, ultra', 'LOW EEO AGAROSE', 'Sepharose CL-6B', 'SEPHAROSE CL-6B', 'agarose, mixture', 'SEPHAROSE(R) CL-6B', 'sepharose CL-6B-200', 'high resolution agarose', 'TOPVISION(TM) LE GQ AGAROSE', 'LOW ELECTROENDOSMOSIS AGAROSE', 'agarose for molecular biology', 'agarose 6 B for chromatography', '5-Chloro-1,3-dimethyladamantane', 'Agarose, Molecular Biology Grade', 'Agaroseplasmaelectrophoresisgrade', 'sepharose(R) 4B for chromatography', 'sepharose(R) 6B for chromatography', 'sepharose(R) cl-6B for chromatography', 'LOW-MELTING-POINT, MULTI-PURPOSE AGAROSE', 'Agaroseforelectrophoresisofmacromolecules', 'Agarose, medium EEO, Molecular Biology Grade']",
61,Alanine,,166.5 g/L (25 °C),89.09,"1,432 g/cm3",C3H7NO2,,"['Ala', 'Alanine', 'H-Ala-OH', 'L-Alanine', 'L-alanine-12C3', 'L-Alpha-Alanine', '2-Aminopropanoicacid', '2-Aminopropanoic acid', 'Tenofovir Impurity 80', '2-Aminopropanoic Acid', '2-Amino-Propionic Acid', '(S)-2-AminopropansÎ±ure', '(S)-2-AminopropionsÎ±ure', 'L-2-Aminopropionic acid', '(s)-2-aminopropanoicacid', 'Aspartic Acid Impurity 6', '(S)-2-Aminopropanoic acid']",
62,Alanine Glutamate,,,218.21,1.362Â±0.06 g/cm3(Predicted),C8H14N2O5,,"['ALA-GLU', 'Ala-Glu-OH', 'H-ALA-GLU-OH', 'alanylglutamate', 'ALANINE GLUTAMATE', 'Alanylglutamic acid', 'L-alanyl-glutamic acid', 'L-ALANYL-L-GLUTAMIC ACID']",
63,Alcloxa,,,314.55,,C4H9Al2ClN4O7,,"['alca', 'ALCLOXA', 'chlorhydroxyaluminumallantoinate', 'aluminiumchlorohydroxyallantoinate', 'chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetrahydroxydi-aluminu', 'chloro((2,5-dioxo-4-imidazolidinyl)ureato)tetrahydroxydi-aluminu', 'chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetrahydroxydi-Aluminum', 'chlorotetrahydroxy((2-hydroxy-5-oxo-2-imidazolin-4-yl)ureato)di-aluminu', 'aluminum,chloro-[(2,5-dioxoimidazolidin-4-yl)carbamoylamino]aluminum,tetrahydrate']",
64,Alcohol,,miscible,46.07,0.789,C2H6O,,"['EtOH', 'Etanol', 'Tecsol', 'Alkohol', 'alcohol', 'Ethanol', 'Algrain', 'Etanolo', 'Alcohol', 'HSDB 82', 'Alcohols', 'Anhydrol', 'Tecsol C', 'Aethanol', 'CCRIS 945', 'NSC 85228', 'NCI-C03134', 'Ethylalcohol', 'Hydroxyethane', 'Aethylalkohol', 'Ethyl hydrate', 'Ethyl Alcohol', 'Grain alcohol', 'Alcohol, ethyl', 'Alcool etilico', 'Methylcarbinol', 'Cologne Spirit', 'edible alcohol', 'Potato alcohol', 'Edible ethanol', 'Ethyl hydroxide', '1-Hydroxyethane', 'Spirits of wine', 'UNII-3K9958V90M', 'Etylowy alkohol', 'Ethanol solution', 'Ethanol absolute', 'Absolute ethanol', 'Alcool ethylique', 'Alcohol, diluted', 'absolute alcohol', 'FEMA Number 2419', 'Molasses alcohol', 'ethanol 200 proof', 'Denatured ethanol', 'anhydrous alcohol', 'Distilled spirits', 'anhydrous ethanol', 'Denatured alcohol', 'Alcohol, anhydrous', 'Alcohol dehydrated', 'Alkoholu etylowego', 'Dehydrated alcohol', 'Ethanol, undenatured', 'Alcohol disinfectant', 'Fermentation alcohol', 'SD Alchol 23-hydrogen', 'Ethyl alcohol anhydrous', 'Alcohol (ethyl alcohol)', 'Ethyl alcohol, undenatured', 'ethanol (fermentation method)', 'anhydrous ethanol (pharmaceutical)']",
65,Aldioxa,,,,,,,,
66,Aleuritic Acid,,,304.42,,C16H32O5,,"['ALEURITIC ACID', 'ALEURITIC ACID, 9,10,16- TRIHYDROXYPALMIT IC ACID']",
67,Alginic Acid,,Insoluble in water.,176.12,1.67g/cm3,(C6H8O6)n,,"['Sazzio', 'sazzio', 'Kelacid', 'norgine', 'Norgine', 'kelacid', 'A 2830-9', 'Alginate', 'HSDB 2967', 'landalgine', 'Landalgine', 'CCRIS 6769', 'Protanal LF', 'Alginic Acid', 'ALGINIC ACID', 'Verdyol Super', 'Acid Algin G 2', 'Satialgine-H 8', 'UNII-8C3Z4148WZ', 'Snow acid algin G', 'polymannuronicacid', 'Polymannuronic acid', 'Alginic acid ammonium', 'beta-D-mannopyranuronic acid', 'Alginic acid from brown algae, AR', 'methyl 4-O-(4-O-methylhexopyranuronosyl)hexopyranosiduronic acid']",
68,Alkanna Tinctoria Extract,,,,,,,,
69,Allantoin,,Slightly soluble in water. Freely soluble in alkalis,158.12,1.6031 (rough estimate),C4H6N4O3,,"['ALL', 'Sebical', 'Alantan', 'Alphosyl', 'Allantin', 'Allegron', 'Egopsoryl', 'Allantion', 'ALLANTOIN', 'Allantoin', 'Cordianine', 'Alyonyldiurened', '5-Ureidohydantoin', '5-UREIDOHYDANTOIN', '(2,5-dioxo-4-imidazolidinyl)urea', '(2,5-dioxo-4-imidazolidinyl)-urea', '(2,5-Dioxo-4-Imidazo-Lidinyl)Urea ', '1-(2,5-dioxoimidazolidin-4-yl)urea', '1-[(4S)-2,5-dioxoimidazolidin-4-yl]urea', '1-[(4R)-2,5-dioxoimidazolidin-4-yl]urea']",
70,Allantoin Acetyl Methionine,,,,,,,,
71,Allantoin Ascorbate,,,,,,,,
72,Allantoin Biotin,,,,,,,,
73,Allantoin Calcium Pantothenate,,,,,,,,
74,Allantoin Galacturonic Acid,,,,,,,,
75,Allantoin Glycyrrhetinic Acid,,,,,,,,
76,Allantoin Paba,,,,,,,,
77,Allantoin Polygalacturonic Acid,,,352.25484,,C10H16N4O10,,"['ALLANTOIN POLYGALACTURONIC ACID', 'Allantoin-polygalacturonic acid complex', 'D-Galacturonic acid, homopolymer, compd. with (2,5-dioxo-4-imidazolidinyl)urea']",
78,Allyl Caproate,,PRACTICALLY INSOLUBLE,156.22,0.887 g/mL at 25 °C (lit.),C9H16O2,,"['FEMA 2032', 'Ally caproate', 'ALLYL CAPROATE', 'allyl caproate', 'ALLYL HEXANOATE', 'Allyl hexanoate', 'ALLYL N-HEXANOATE', 'Propylene caproate', 'CAPROIC ACID ALLYL ESTER', 'prop-2-en-1-yl hexanoate', 'HEXANOIC ACID ALLYL ESTER']",
79,Alpha Damascone,,,,,,,,
80,Alumina,,,119.976556,,Al2H2O4,,"['ALUMINA', 'TIANFU-CHEM ALUMINA', 'Alcoa Activated Aluminas', 'dialuminum,oxygen(2-),hydrate', 'Vidalier Activated Alumina SPCl', 'Aluminum oxide (Al2O3), hydrate', 'Vidalier Activated Alumina, KG-52']",
81,Aluminum Acetate,,soluble H2O [HAW93],204.11,1.002 g/cm3,C6H9AlO6,,"['D02843', 'Domeboro', 'Aluminum Acetate', 'aluminum triacetate', 'Aluminum acetate (usp)', 'aluminium (tri)acetate', 'Tris(acetic acid) aluminum', 'Triacetic acid aluminum salt', 'Trisacetic acid aluminum salt', 'Tris(acetic acid) aluminum salt']",
82,Aluminum Behenate,,,370.6,,C22H47AlO2,,"['ALUMINUM BEHENATE', 'aluminium tridocosanoate', 'Behenic acid aluminium salt', 'Tridocosanoic acid aluminum salt']",
83,Aluminum Benzoate,,,,,,,,
84,Aluminum Caprylate,,,,,,,,
85,Aluminum Chloride,,reacts,133.34,2.44,AlCl3,,"['Anhydrol forte', 'Aluminum chloride', 'Aluminium chloride', 'Aluminium trichloride', 'aluminumchloridesolutions', 'Aluminum chloride solution', 'Aluminum chloride,anhydrous', 'Anhydrous aluminum chloride', 'Aluminium chloride anhydrous', 'aluminumtrichloridesolutions', 'trichloroaluminum hexahydrate', 'aluminumtrichloride,anhydrous', 'ALUMINIUM CHLORIDE HEXAHYDRATE', 'Aluminum trichloride anhydrous', 'Aluminum trichloride test solution(ChP)', 'Aluminum standard concentrate 10.00 g Al', 'ALUMINUM CHLORIDE, ANHYDROUS, REAGENTALUMINUM CHLORIDE, ANHYDROUS, REAGENTALUMINUM CHLORIDE, ANHYDROUS, REAGENT', 'Ð¥Ð»Ð¾Ñ\x80Ð¸Ð´ Ð°Ð»Ñ\x8eÐ¼Ð¸Ð½Ð¸Ñ\x8f, Ð\x90Ð»Ñ\x8eÐ¼Ð¸Ð½Ð¸Ð¹ Ñ\x85Ð»Ð¾Ñ\x80Ð¸Ñ\x81Ñ\x82Ñ\x8bÐ¹ Ð±ÐµÐ·Ð²Ð¾Ð´Ð½Ñ\x8bÐ¹, Aluminum trichloride, Aluminum chloride anhydrous, Trichloroaluminum']",
86,Aluminum Chlorohydrate,,,83.47,1.95[at 20°C],AlClH5O-,,"['aluminum', ' pentahydrate', 'CHLORHYDROL(R)', ' chloroaluminum', 'MACROSPHERICAL(R) 95', 'POLYALUMINUM CHLORIDE', 'aluminum hydrochloride', 'ALUMINUM CHLOROHYDRATE', 'aluminum chloride oxide', 'BASIC ALUMINUM CHLORIDE', 'Aluminum hydroxychloride', 'ALUMINUM CHLOROHYDROXIDE', 'aluminum chloride hydroxide', 'ALUMINUM HYDROXYCHLORIDE, DIHYDRATE', 'ALUMINUM CHLOROHYDROXIDE, DIHYDRATE']",
87,Aluminum Diacetate,,,,,,,,
88,Aluminum Dichlorohydrate,,,96.449218,,AlClH2O2,,"['ALUMINUM DICHLOROHYDRATE', 'dihydroxyaluminum chloride', 'Aluminum chloride dihydroxide', 'aluminium chloride dihydroxide']",
89,Aluminum Dilinoleate,,,,,,,,
90,Aluminum Dimyristate,,,,,,,,
91,Aluminum Fluoride,,SLIGHTLY SOLUBLE,83.98,3.1 g/mL at 25 °C (lit.),AlF3,,"['fluoridhlinity', 'Aluminum fluoride', 'ALUMINUM FLUORIDE', 'Aluminiumfluoride1', 'Aluminium fluoride', 'ALUMINIUM FLUORIDE', 'Aluminum trifluoride', 'ALUMINIUM FLUORIDE H', 'Aluminiumfluoridetech', 'ALUMINIUM TRIFLUORIDE', 'ALUMINUM(III) FLUORIDE', 'Aluminiumfluorideanhydrous', 'Aluminum fluoride monohydrate']",
92,Aluminum Formate,,86.1g/L at 20°C,76.03,,CH5AlO2,,"['Aluminum formate', 'Aluminium formate', 'aluminiumtriformate', 'aluminum triformate', 'Aluminiumtriformiat', 'aluminium triformate', 'Formicacid,aluminumsalt', 'Aluminum formate [normal]', 'Triformic acid aluminum salt', 'Trisformic acid aluminum salt']",
93,Aluminum Glycinate,,,132.03,,C2H3AlNO4,,"['DAA', 'Aluminum tris', 'glycine aluminum', 'ALUMINUM GLYCINATE', 'ALUMINIUM GLYCINATE', 'ALUMINUIM GLYCINATE', 'Glycine, aluminum salt', 'aluminum tris(aminoacetate)', 'DIHYDROXYALUMINUM GLYCINATE', 'DIHYDROXYALUMINIUM GLYCINATE', 'Aluminum dihydroxy Glycinate', 'DIHYDROXYALUMINUMAMINOACETATE', 'DIHYDROXYALUMINUM AMINOACETATE', 'Dihydroxyaluminium aminoacetate', 'dihydroxyaluminum(1+) aminoacetate', 'DIHYDROXYALUMINUM AMINOACETATE HYDRATE', 'aluminum tris[(dihydroxyamino)acetate]', 'AMINOACETIC ACID DIHYDROXYALUMINUM SALT', 'o)dihydroxy-(glycinato-(beta-4)-aluminu']",
94,Aluminum Hydroxide,,insoluble,78,2.42 g/cm3 at 20 °C,AlH3O3,,"['alugel', 'alumigel', 'alcoac333', 'alcoac330', 'alcoac30bf', 'C.I. 77002', 'aluminicacid', 'aluminahydrated', 'Aluminiumhydrate', 'Aluminium hydrate', 'Aluminum hydroxide', 'Alumina trihydrate', 'Aluminium Hydroxide', 'aluminum trihydrate', 'Aluminum hydroxide, dried [JAN]']",
95,Aluminum Isostearate,,,,,,,,
96,Aluminum Lactate,,Very soluble in cold water,294.19,1.388[at 20°C],C9H15AlO9,,"['PURAMEX(R) AL', 'Aluminum lactate', 'ALUMINUM LACTATE', 'ALUMINIUM LACTATE', 'Aluminium Lactate', 'ALUMINUM L-LACTATE', 'ALUMINUM-D,L-LACTATE', 'aluminium trilactate', 'tris(lactato)-aluminu', 'LACTIC ACID, ALUMINUM SALT', 'L-lactic acid aluminum salt', 'AluminumlactateHOwhitepowder', 'aluminum 2-hydroxypropanoate', 'ALUMINUM-L-2-HYDROXY-PROPIONATE', 'aluminum tris(2-hydroxypropanoate)']",
97,Aluminum Methionate,,,,,,,,
98,Aluminum Myristate,,,,,,,,
99,Aluminum Pca,,,,,,,,
100,Aluminum Sesquichlorohydrate,,,,,,,['ALUMINUM SESQUICHLOROHYDRATE'],
101,Aluminum Sesquichlorohydrex Pg,,,173.551578,,C3H11AlClO4+,,['ALUMINUM SESQUICHLOROHYDREX PG'],
102,Aluminum Stearate,,"Soluble in alkali, glycol, chlorinated hydrocarbons, petroleum, benzene, turpentine oil, mineral oil, vegetable oil, mixture of benzene, toluene and the three xylene isomers. Insoluble in water, ethan",877.39,1.01,C54H105AlO6,,"['rofob3', 'aluminum salt', 'Aluminum Stearate', 'Aluminium stearate', 'Aluminum tristearate', 'Aluminum octadecanoa', 'Aluminium tristearate', 'Aluminum octadecanoate', 'aluminium octadecanoate', 'Aluminium stearate tech', 'aluminium (tri) stearate', 'Tristearic acid aluminum', 'Stearic acid aluminium salt', 'octadecanoate, aluminum salt', 'octadecanoicacid,aluminumsalt', 'Tristearic acid aluminum salt', 'Trisstearic acid aluminum salt', 'Aluminium stearate white powder', 'Trioctadecanoic acid aluminum salt']",
103,Aluminum Sulfate,,soluble,342.15,2.71 g/mL at 25 °C (lit.),Al2O12S3,,"['ALUM', 'LIQUID ALUM', 'Aluminum sulfate', 'Aluminum sulphate', 'Aluminium Sulfate', 'ALUMINIUM SULFATE', 'Aluminium Sulphate', 'ALUMINIUM SULPHATE', 'sulfuricacid,aluminumsalt', 'ALUMINIUM SULFATE, DEHYDRATE', 'Aluminium Sulfate, Dehydrate', 'Aluminium sulfate,non-ferrous']",
104,Aluminum Tristearate,,"Soluble in alkali, glycol, chlorinated hydrocarbons, petroleum, benzene, turpentine oil, mineral oil, vegetable oil, mixture of benzene, toluene and the three xylene isomers. Insoluble in water, ethan",877.39,1.01,C54H105AlO6,,"['rofob3', 'aluminum salt', 'Aluminum Stearate', 'Aluminium stearate', 'Aluminum tristearate', 'Aluminum octadecanoa', 'Aluminium tristearate', 'Aluminum octadecanoate', 'aluminium octadecanoate', 'Aluminium stearate tech', 'aluminium (tri) stearate', 'Tristearic acid aluminum', 'Stearic acid aluminium salt', 'octadecanoate, aluminum salt', 'octadecanoicacid,aluminumsalt', 'Tristearic acid aluminum salt', 'Trisstearic acid aluminum salt', 'Aluminium stearate white powder', 'Trioctadecanoic acid aluminum salt']",
105,Aluminum Zirconium Octachlorohydrate,,,,,,,,
106,Aluminum Zirconium Pentachlorohydrate,,,188.681158,,AlClH3O2Zr+5,,['ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE'],
107,Aluminum Zirconium Pentachlorohydrex Gly,,,,,C2H8AlClNO4Zr,,"['PENTACHLOROHYDREX -AZG', 'PentachloroAluminum Zirconium Gly', 'ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY']",
108,Aluminum Zirconium Tetrachlorohydrate,,,,,,,,
109,Aluminum Zirconium Trichlorohydrate,,,,,,,,
110,4-Amino-3-Nitrophenol,,soluble,154.12,1.3617 (estimate),C6H6N2O3,,"['JAROCOL 4A3NP', '4-amino-3-nitro-pheno', '4-AMINO-3-NITROPHENOL', '3-nitro-4-aminophenol', '4-Amino-3-nitrophenol', '3-NITRO-4-AMINOPHENOL', '4-HYDROXY-2-NITROANILINE', ' 4-Hydroxy-2-nitroaniline', '2-amino-5-hydroxynitrobenzene', '2-Amino-5-hydroxynitrobenzene']",
111,2-Aminobutanol,,Soluble in water,89.14,0.943 g/mL at 20 °C(lit.),C4H11NO,,"['2-Aminobutanol', 'L-2-aminobutanol', 'L-Amino-1-butanol', 'D-Amino-1-butanol', '( theta)-1-butanol', 'L-2-Amino-1-butanol', 'D-(+)-Amino butanol', 'D-(+)-2-Amino butanol', '(R)-2-aminobutan-1-ol', 'R(-)-2-Amino-1-Butanol', 'D(+)-2-Amino-1-butanol', '(R)-(-)-2-Amino-1-butanol', '1-Butanol, 2-amino-, (2R)-', '(2R)-1-hydroxybutan-2-aminium']",
112,2-Amino-6-Chloro-4-Nitrophenol,,450mg/L at 25°C,188.57,1.655Â±0.06 g/cm3(Predicted),C6H5ClN2O3,,"['TIMTEC-BB SBB007546', '2-Amino-4-nitro-6-chloro', '2-amino-6-chloro-4-nitrophenol', '2-amino-6-chloro-4-nitro-pheno', '2-AMINO-6-CHLORO-4-NITROPHENOL', '4-Nitro-6-chloro-2-aminophenol', '6-Chloro-4-Nitro-2-Aminophenol', '6-CHLORO-2-AMINO-4-NITROPHENOL', '6-Chloro-2-Amino-4-Nitro Phenol', '2-AMINO-4-NITRO-6-CHLORO PHENOL', 'Phenol, 2-Amino-6-Chloro-4-Nitro-', '3-Chloro-2-hydroxy-5-nitroaniline']",
113,5-Amino-6-Chloro-O-Cresol,,,157.6,1.331Â±0.06 g/cm3(Predicted),C7H8ClNO,,"['CAOC', '5-AMINO-6-CHLORO-O-CRESOL', '6-chloro-5-amino-o-cresol', '6-Chloro-5-amino ortho cresol', '3-amino-2-chlor-6-methylphenol', '3-AMINO-2-CHLORO-6-METHYLPHENOL', '5-AMINO-6-CHLORO-2-METHYLPHENOL', '5-Amino-6-Chloro-2-Methylphenol', '2-METHYL-5-AMINO-6-CHLOROPHENOL', '2-chloro-3-amino-6-methylphenol']",
114,"5-Amino-2,6-Dimethoxy-3-Hydroxypyridine",,,170.17,,C7H10N2O3,,"['3-Pyridinol, 5-amino-2,6-dimethoxy-', '5-AMINO-2,6-DIMETHOXY-3-HYDROXYPYRIDINE']",
115,Aminoethyl Propanediol,,soluble,119.16,1.099,C5H13NO2,,"['AEPD', 'AEPD-85', '115-70-8', 'Aminoethyl propanediol', '2-Ethyl-2-aminopropanediol', '2-Amino-2-ethyl-1,3-propanediol', '2-Amino-2-ethylpropane-1,3-diol', '3-Propanediol,2-amino-2-ethyl-1', '1,3-propanediol, 2-amino-2-ethyl-', '2-amino-2-hydroxymethyl-1-butanol', '2-Amino-2-ethyl-1,3-propanediol (AEPD)', '1-hydroxy-2-(hydroxymethyl)butan-2-aminium', '[1-hydroxy-2-(hydroxymethyl)butan-2-yl]ammonium']",
116,Aminoethyl Sulfate,,,,,,,,
117,2-Amino-4-Hydroxyethylaminoanisole,,,182.22,1?+-.0.06 g/cm3(Predicted),C9H14N2O2,,"['Einecs 280-733-2', '2-AMINO-4-HYDROXYETHYLAMINOANISOLE', '2-[(3-amino-4-methoxyphenyl)amino]ethanol', '2-AMINO-4-[N-(2-HYDROXYETHLY)AMINO]ANISOLE', '2-Amino-4-(N-(2-hydroxyethyl)amino)anisole', 'Ethanol, 2-(3-amino-4-methoxyphenyl)amino-']",
118,2-Amino-4-Hydroxyethylaminoanisole Sulfate,,,,,,,,
119,2-Amino-3-Hydroxypyridine,,,110.11,1.2111 (rough estimate),C5H6N2O,,"['2-amino-3-pyridi', '2-AMINO-3-PYRIDOL', '2-Amino-3-pyridol', '2-Amino-3-pyridinol', '2-aminopyridin-3-ol', '2-AMINO-3-PYRIDINOL', '2-AMINO-PYRIDIN-3-OL', '3-PYRIDINOL, 2-AMINO-', '3-pyridinol, 2-Amino-', '3-Hydroxy-2-pyridinamine', '2-Amino-3-hydroxypyridine', '3-Hydroxy-2-aminopyridine', '3-HYDROXY-2-AMINOPYRIDINE', '2-AMINO-3-HYDROXYPYRIDINE', '2-amino-3-hydroxypyridinium']",
120,4-Amino-2-Hydroxytoluene,,4.11g/L at 20°C,123.15,1.0877 (rough estimate),C7H9NO,,"['JAROCOL 2M5AP', '5-AMINO-O-CRESOL', '5-Amino-o-cresol', '2-hydroxy-p-toluidine', '2-methyl-5-aminophenol', '5-amino-2-methylphenol', '5-AMINO-2-METHYLPHENOL', '2-amino-5-methylphenol', '4-AMINO-2-HYDROXYTOLUENE', '2-Hydroxy-4-aminotoluene', '3-HYDROXY-4-METHYLANILINE']",
121,4-Amino-M-Cresol,,insoluble,123.15,1.0877 (rough estimate),C7H9NO,,"['4-amino-cresol', '4-amino-m-creso', '4-Amino-m-cresol', 'm-Cresol, 4-amino-', '4-amino-meta-cresol', 'p-Hydroxy-o-toluidine', '4-amino-3-methylphenol', '4-Amino-3-methylphenol', '4-Amino-3-methyl phenol', 'Phenol, 4-amino-3-methyl-', 'tert-butyl prop-2-en-1-yl carbonate', '4-amino-m-cresol,4-hydroxy-o-toluidine,4-amino-3-methylphenol']",
122,6-Amino-M-Cresol,,soluble,123.15,1.0877 (rough estimate),C7H9NO,,"['JAROCOL 2M5AP', '6-Amino-m-cresol', '6-amino-meta-cresol', 'm-Hydroxy-p-toluidine', '6-Amino-m-methylphenol', '2-Amino-5-methylphenol', 'Phenol, 2-amino-5-methyl-', '6-AMINO-M- CRESOL, 4-AMINO- 3- HYDROXYTOLUENE, 2-AMINO-5- METHYLPHENOL, 2- HYDROXY-4- METHYLANILINE']",
123,Aminomethyl Propanediol,,,,,,,,
124,Aminomethyl Propanol,,,,,,,,
